序号,景区ID,景区名称,评论
93,77593,黄鹤楼,地理位置非常棒，门口就是地铁站，交通非常方便，冲这一点给五星好评地理位置非常棒，门口就是地铁站，交通非常方便，冲这一点给五星好评地理位置非常棒，门口就是地铁站，交通非常方便，冲这一点给五星好评
94,77593,黄鹤楼,武汉的长江夜游是非常震撼的，从疫情时期的空城，到如今的车水马龙，感触颇深，感谢有一个强大的祖国，感谢所有人一起努力和付出，好评好评，不虚此行！！！！！！
95,77593,黄鹤楼,景色不错，在武汉蛇山的龙头，现在的楼是新建的，外面看五成，里面有九成，俗称九五之尊，原来的楼是木质结构的，早就被毁啦，上几张图看看吧
96,77593,黄鹤楼,远方的朋友来武汉玩，带他们来到了这名楼参观，打卡，留下了美好的回忆……
97,77593,黄鹤楼,登上楼顶，视野很开阔，楼下还有沉浸式演出，入口处也有古装走秀可以看滴
98,77593,黄鹤楼,不错👌很好。………………………………………………………………………………………………………………………………………………………………………………
99,77593,黄鹤楼,5a景区不能错过&#x0A;维护和管理还是相当不错&#x0A;爬楼有点累但是每层都有不同的字画，配讲解更好&#x0A;最高层眺望武汉城市感觉很棒&#x0A;有机会傍晚来看落日或灯光应该更加震撼
100,77593,黄鹤楼,很有名的江南三大名楼之一。其实是个很大的公园，距离江边很远，楼上好几层，遍地都是那首诗。这种地方，不去肯定后悔，肯定的去打卡。去了也就那回事。
101,77593,黄鹤楼,在江边，不过不是在旧址上，基本都是现代重建的，不需要门票。
102,77593,黄鹤楼,我的评价小作文来咯，体验完马上就来评价了，超级推荐大家来噢
103,77593,黄鹤楼,黄河楼景区干净卫生，疫情期间志愿者维持秩序很到位。值得一去
104,77593,黄鹤楼,武汉地标建筑，带老人来看看逛逛挺不错。爬上楼顶视野开阔，眺看长江大桥和长江二桥，晚上来还有夜游黄鹤楼光影秀。离户部巷也近，看江景吃夜宵方便
105,77593,黄鹤楼,黄鹤西楼月，&#x0A;长江万里情，&#x0A;春风三十度，&#x0A;空忆武昌城。&#x0A;终于见到了千古名句中的黄鹤楼，有点小兴奋夜色下的鹦鹉洲长江大桥和金门桥还有点像～&#x0A;武汉你好，江城水暖，逆风翻盘！
106,77593,黄鹤楼,非常不错的地方，能够看到长江大桥的全景，离户部巷也比较近
107,77593,黄鹤楼,毕竟是有名的地方
108,77593,黄鹤楼,到武汉第一站就到达了闻名遐迩的黄鹤楼，很早就听说了黄鹤楼的大名了，这次终于有机会现场观摩大名鼎鼎的名胜古迹了，比较遗憾的是没有看到夜景。
109,77593,黄鹤楼,名胜！值得去！！终于看到了心心念念的黄鹤楼，感觉十分激动！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
110,77593,黄鹤楼,性价比很高的景点，站在楼上能俯瞰长江全景，值得一去。
111,77593,黄鹤楼,虽说是后建的，但也很值得一去。有历朝的黄鹤楼模型。
112,77593,黄鹤楼,这次武汉转机有时间从来没有在武汉游览过，所以打定主意就逛黄鹤楼。注意黄鹤楼是个公园景点，门票70，地方不大，等等5黄鹤楼远眺不错。
113,77593,黄鹤楼,黄鹤楼是武汉最有名气的景点，矗立长江之之畔，看了之后和很多这种类型的公园一样，历史悠久，建筑老旧，充满文化底蕴，总的来说值得一看吧
114,77593,黄鹤楼,武汉的地标，20年前去过一次，现在还想再去看看。
115,77593,黄鹤楼,黄鹤楼是武汉的标志，位于长江边上。可以观长江江景
116,77593,黄鹤楼,武汉的地标来旅游的都会去看看，顺便去一下户部巷！
117,77593,黄鹤楼,江南第一楼不是吹出来的，宏伟壮观，有气势，值得一去，携程的票比现场购票便宜了5块钱。岳飞精忠报国，黄鹤楼大钟洪亮，以后带家人去。
118,77593,黄鹤楼,白天去过几次，但是第一次夜游黄鹤楼，不一样的体验
119,77593,黄鹤楼,还是非常值得去的，看到初建于2000多年前的雄伟建筑不得不感叹中华民族的伟大。如果是第一次来武汉的话非常推荐，大家去看这个景点。
120,77593,黄鹤楼,使用非常房产直接刷码进去就行了，地标景点打卡，拍拍照，其他的没多大意思感觉，晚上有灯光秀，没买到票，看起来好像不错，去的时候天气不好，登高真的太热了
121,77593,黄鹤楼,总体来说还是不错的，尤其在登黄鹤楼的时候，每一层都有不同的人物、历史的介绍！每登上一层也会看到不同的景色，在最高层将附近的景色尽收眼底，值得推荐！！
122,77593,黄鹤楼,才饮长江水，又食武昌鱼。古老的传说值得去看看。
123,77593,黄鹤楼,【景色】很不错，故人西辞黄鹤楼，烟花三月下扬州
124,77593,黄鹤楼,武昌桥头，蛇山之上，登上黄鹤楼，放眼望去，滚滚长江东逝水，浪花淘尽英雄！每个方向，每层楼上，都会看到不同的风景，都尽收眼底！不同的季节，不同的景色，武汉，每天不一样！
125,77593,黄鹤楼,最大的亮点在诗里面，门票不便宜，就是个市内公园
126,77593,黄鹤楼,武汉很有名的景点，到武汉一定要去打卡的地方。
127,77593,黄鹤楼,武汉最知名的景点，到武汉旅游必须要去的地方。
128,77593,黄鹤楼,武汉市最著名的景点是黄鹤楼景区，值得一看。
129,77593,黄鹤楼,环境非常不错，很出片，推荐想拍照的姐妹来！
130,77593,黄鹤楼,武汉的地标性建筑，还不错，可以眺望长江大桥
131,77593,黄鹤楼,最顶上的几层正在维护，不让上。人流颇大，周围景色一般般，塔不是古建筑，是现代重建的，还好留了点文旅的意思，感觉尚可。=_=
132,77593,黄鹤楼,故人西辞黄鹤楼，烟花三月下扬州。&#x0A;孤帆远影碧空尽，唯见长江天际流。&#x0A;时间匆忙，很多角落没有去到，此行值得，下次有机会还会前往。
133,77593,黄鹤楼,中国传统四大名楼之一，雄驻长江天下闻名。
134,77593,黄鹤楼,天上九头鸟，地下湖北佬。&#x20;来到武汉的标志，一个是过早吃热干面，吃豆皮，第二过就必须要看黄鹤楼和武汉长江大桥了。&#x20;说实在的黄鹤楼跟我来之前的想象还是有区别的，&#x20;多了很多现代气息，少了古时的怀旧情怀。&#x20;不管怎么说，&#x20;毕竟是天下三大名楼之一吧，
135,77593,黄鹤楼,来武汉肯定是要去的啦
136,77593,黄鹤楼,值得一去。昔人已乘黄鹤去，此地空余黄鹤楼
137,77593,黄鹤楼,晚上看有灯光秀，比白天干看好，也不晒。就是人多，觉得很拥挤。登高远望还是能感受到武汉新城的繁华热闹的，远处的灯光也很美。
138,77593,黄鹤楼,景色壮丽趣味十足性价比很不错是旅游胜地
139,77593,黄鹤楼,完美的一次旅行，景区人文景观交相辉映。
140,77593,黄鹤楼,人造古迹景点之一，可以直接坐电梯上去
141,77593,黄鹤楼,历史古迹，文化味浓厚，非常值得一游。
142,77593,黄鹤楼,黄鹤楼也非常壮观，我已经去过三次了，
143,77593,黄鹤楼,漂亮好地方，不错，古色古香，值得推荐
144,77593,黄鹤楼,景色真美，游人较多，有时间可以看看
145,77593,黄鹤楼,武汉地标景点，登高望远，意义很大。
146,77593,黄鹤楼,武汉黄鹤楼景区，历史风景名胜之地。
147,77593,黄鹤楼,雄伟壮丽，风景优美，自古以来的最高
148,77593,黄鹤楼,‘值得推荐......555555
149,77593,黄鹤楼,千里长江的地标之一，大武汉的象征。
150,77593,黄鹤楼,武汉地标，黄鹤楼地处蛇山之巅，始建于三国，历代屡次重修，现存建筑以清代同治楼为原型，因唐代诗人登楼所题《黄鹤楼》一诗而名扬四海，被誉为“天下江南第一楼”。
151,77593,黄鹤楼,黄鹤楼的秋天也来咯，美得，必须打卡
152,77593,黄鹤楼,地标打卡之地，&#x0A;昔人已乘黄鹤去⑵，此地空余黄鹤楼。&#x0A;黄鹤一去不复返，白云千载空悠悠⑶。&#x0A;晴川历历汉阳树⑷，芳草萋萋鹦鹉洲⑸。&#x0A;日暮乡关何处是⑹？烟波江上使人愁⑺。
153,77593,黄鹤楼,文化底蕴丰厚，千古一楼，值得信赖
154,77593,黄鹤楼,这是必去的吧。很多。可以住附近。
155,77593,黄鹤楼,第二次去了，很好。疫情期间人不多
156,77593,黄鹤楼,湖北武汉的标志性建筑，古典大气。
157,77593,黄鹤楼,疫情期间过去没有什么人，还不错吧
158,77593,黄鹤楼,很棒的一次单独举行。黄鹤楼大气。
159,77593,黄鹤楼,登高望远，黄鹤楼打小就知道，再熟悉不过的打卡点。在楼上可以看武汉长江大桥，文创的冰激淋也就是为了拍照用。楼上不算太热，就是戴口罩在7月的天里爬，闷、喘！
160,77593,黄鹤楼,登高望远，不尽长江天际流！！！
161,77593,黄鹤楼,非常好，景色非常优美，适合参观
162,77593,黄鹤楼,去过一次还不错，晚上去很漂亮的
163,77593,黄鹤楼,黄鹤楼是大家值得去看看的地方！
164,77593,黄鹤楼,和女朋友的第一次远行，很开心。黄鹤楼是个不错的景点，周围的美食也好吃。
165,77593,黄鹤楼,黄鹤楼的景色非常优美，不过游人比较多。建议提前了解一下黄鹤楼之后再游览，这样的话游览更细致一些。&#x0A;在黄鹤楼顶楼，非常凉爽，可以俯瞰武汉新城和老城的样貌。
166,77593,黄鹤楼,5a级的景点&#x20;有历史的感觉&#x20;很好
167,77593,黄鹤楼,真的是百闻不如一见，没有一点文化底蕴！还整的拍照，讲凭票免费，结果25一张普通的照片，拍的底片还不给！真的是给武汉城市形象丢人！让人心寒，走到4楼，竟然好几个游客在抽烟！一点管理都没有，唉
168,77593,黄鹤楼,每次登山，登楼，回望过去。都有一种恍然大悟的感觉，因为沿路的风景，总有一些是忽略的。只有从大局上观看，才能让自己有渺小之感，进而不敢傲慢，继续进步。
169,77593,黄鹤楼,非常的好&#x20;值得一去&#x20;还会再去的
170,77593,黄鹤楼,黄鹤楼公园里不仅有黄鹤楼，更多的是一些人文风景，还有许多有趣的典故
171,77593,黄鹤楼,好……………………………………………………………………………………………………………………………………………………………………………………………
172,77593,黄鹤楼,疫情后的武汉一切井井有条
173,77593,黄鹤楼,和家人一块出行，和我的宝贝一块等上了最高层，带父母来黄鹤楼逛一逛，辛苦大半辈子很少出来旅游，正好来玩一下
174,77593,黄鹤楼,带孩子来的，假期人不少
175,77593,黄鹤楼,有点刻意化了，但是还是值得一看的，毕竟去过了长长见识，但是别抱太大希望毕竟看景不如听景。网上的图很好看，但是好看的只有那几个角度。国庆人多，只能看着人，其实如果人少的时候去可能会好些
176,77593,黄鹤楼,非常值得去的景点，网红打卡地，武汉地标建筑，只有身临其境才能感受到它的雄伟壮观，蹬上顶层，极目远眺，武汉长江大桥尽收眼底。
177,77593,黄鹤楼,崔灏的诗句记忆犹新，有机会亲眼所见黄鹤楼之壮观。登楼远眺可见武汉长江大桥横跨在滚滚长江之上。一楼一桥遥相辉映，诉说着3000年来武汉的变迁。
178,77593,黄鹤楼,有乐趣，很好的回忆。
179,77593,黄鹤楼,登顶黄鹤楼，远眺长江大桥。大疫后的武汉，车水马龙，一派繁华。
180,77593,黄鹤楼,故人西辞黄鹤楼，烟花三月下扬。大诗人李白笔下的诗句使黄鹤楼名扬四海。黄鹤楼最早的可以追溯到三国时代，历经沧桑时至今日。被称为四大名楼之一。
181,77593,黄鹤楼,文学价值丰润，文化底蕴十足；&#x0A;孤帆远影碧空尽，唯见长江天际流。&#x0A;昔人已乘黄鹤去，&#x0D;&#x0A;此地空余黄鹤楼。&#x0D;&#x0A;黄鹤一去不复返，&#x0D;&#x0A;白云千载空悠悠。&#x0A;都是千古名篇！
182,77593,黄鹤楼,可以游玩强烈推荐
183,77593,黄鹤楼,黄鹤楼，太小了点，远处看更高，那次去了人太多，没有上楼。记得是在19年的十一的时候去的，我一家三口，现在已经变成四口了，有机会，再去一次
184,77593,黄鹤楼,新的景点，听听故事，感受一下现代化对于老物件的现代解读，不过院内景观设计还是可以的，比较幽静，主要是名声在外，到武汉必须要来打卡的地点。
185,77593,黄鹤楼,因为一首诗对这个地方心心念念啊！终于来到这里了，开心🥳
186,77593,黄鹤楼,天气不错，游客不算很多，整体游览井然有序，景区的拍照价格也比较合理。&#x0A;登楼观景，白云千载空悠悠的意境一下子就出来了，远眺长江大桥气势恢宏。
187,77593,黄鹤楼,武汉名景，交通相当便利，而且此景点巨厚浓厚的历史文化背景，是全国独一无二的，有时间可以到此一游
188,77593,黄鹤楼,还不错&#x20;景色宜人
189,77593,黄鹤楼,启恩日语翻译
190,77593,黄鹤楼,武汉地标性建筑，濒临万里长江。因唐代诗人崔颢登楼所题《黄鹤楼》一诗而名扬四海。“中国十大历史文化名楼”之一。5A级景点，很值得游览！
191,77593,黄鹤楼,真的很好妹妹呃逆哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
192,77593,黄鹤楼,值得来一趟，节假日停车的确不方便，推荐打车到附近走路过去。&#x0A;需要一定体力爬楼梯。&#x0A;行动不方便的可以坐轮椅上楼，无障碍通道也做的还可以。
193,77593,黄鹤楼,值得一去！
194,77593,黄鹤楼,很不错的景点哦，赞！有机会，下次还要介绍朋友们去参观的啊，哈哈！很不错的景点哦，赞！有机会，下次还要介绍朋友们去参观的啊，哈哈！
195,77593,黄鹤楼,疫情之后，外省人员免费参观黄鹤楼，非常感谢湖北省人民政府对于全国各地人民这么有爱，有好的政策，景色宜人，欢迎全国各地游客前往游览
196,77593,黄鹤楼,也是古建筑的一个建筑，值不值得去，是要看看每个人的想发与看法，我是觉得个人比较喜欢去，看看古建筑里面可以了解到，我们旧时代的生活
197,77593,黄鹤楼,二十年前在武汉读大学，由于种种原因，只在大门外远望过黄鹤楼。这次趁着国庆放假，带孩子来实地参观，徒步登顶，寓教于乐，十分开心。
198,77593,黄鹤楼,来武汉不管怎么样也要来看看的吧，其实也没什么意思，大概没找讲解的原因吧，有体力的就不要坐他们的观光车，没必要距离其实很短的。
199,77593,黄鹤楼,黄鹤楼作为必去的武汉景点不容错过。正值三月，我准备循着古诗，登了黄鹤楼就下扬州呢！在楼上极目楚天，看大江东去，真是心旷神怡！
200,77593,黄鹤楼,第二次来了，爬到了第六层，孩子喜欢，特别是听了黄鹤的故事。品黄鹤诗文，吃黄鹤楼雪糕，是孩子领略中华文化的绝佳去处，人特别多
201,77593,黄鹤楼,湖北标志性建筑之一，去武汉的必游之地，虽然门票有点小贵但还是值得看下，白天和晚上各不相同，夜景的灯光秀超漂亮，不容错过的。
202,77593,黄鹤楼,可能因为疫情，游客比较少，拍照不用抢位😆黄鹤楼下面是个园林，景色挺雅致的。推荐游览，推荐游览，推荐游览，重要事情说三遍！
203,77593,黄鹤楼,"非常好。我和家人再次去拜访了令人神往的黄鹤楼。它真的是美不胜收，让我心旷神怡。&#x0A;&#x0A;　　一来到黄鹤楼他那股，古朴，而气派的感觉，瞬间震慑了我。“一层,两层,三层,”黄鹤楼有五层，而且每层的菱角都向外向上翘着。和大多数古楼一样，黄鹤楼也是因为有很多名人在那里提诗，作画。例如李白的《送孟浩然之广陵》等等这些诗，画，都在黄鹤楼内部陈列出来了。黄鹤楼的美让我惊叹不已。我对它的身世也有了兴趣，通过查阅资料我得之黄鹤楼最初在三国时建起，位置在如今武汉大桥的桥头，后来，多次拆除重建，就明清两代就被毁了七次，重建和维修了十次。终于在1981年黄鹤楼，永存于蛇山峰岭之上。黄鹤楼的名字也是有来历的。是神仙的传说，现在的黄鹤楼是5a景区。黄鹤楼公园的南端是黄鹤楼主楼。主楼一共高六层，每一层都有不同的东西。第一层有一些钟和鼓。第二层和第一层在一起，陈列了许多关于黄鹤楼的诗篇、文章、书画等。其中崔颢写的一首七言律诗就非常有名：“昔人已乘黄鹤去，此地空余黄鹤楼。黄鹤一去不复返，白云千载空悠悠。晴川历历历汉阳树，芳草萋萋鹦鹉洲。日暮乡关何处是，烟波江上使人愁。”&#x0A;&#x0A;　　第三层是旅游纪念品专卖店，买一个做纪念吧！"
204,77593,黄鹤楼,你我相约武汉，站在黄鹤楼顶端俯瞰长江大桥，黄鹤楼风景图案，太美，还会相约，在楼顶，看着武汉，穿行于户部巷中遍寻武汉美食。
205,77593,黄鹤楼,武汉最有底蕴的文化景点，古往今来，仅1700余首描写黄鹤楼的诗句就让人赞叹，不愧为四大名楼之一。最喜欢的当然是崔颢的——故人已辞黄鹤去，此地空余黄鹤楼，黄鹤一去不复返，白云千载空悠悠。晴川历历汉阳树，芳草萋萋鹦鹉洲，日暮乡关何处是，烟波江上使人愁。千古绝唱！
206,77593,黄鹤楼,1、黄鹤楼位于湖北省武汉市长江南岸的武昌蛇山之巅，为国家5A级旅游景区。黄鹤楼是武汉市标志性建筑，与晴川阁、古琴台并称“武汉三大名胜”；&#x0A;&#x0A;2、黄鹤楼始建于三国时代吴黄武二年（公元223年）。唐代诗人崔颢在此题下《黄鹤楼》一诗，李白在此写下《黄鹤楼送孟浩然之广陵》，历代文人墨客在此留下了许多千古绝唱，使得黄鹤楼自古以来闻名遐迩；&#x0A;&#x0A;3、黄鹤楼楼外铸铜黄鹤造型、胜像宝塔、牌坊、轩廊、亭阁等一批辅助建筑，将主楼烘托得更加壮丽。
207,77593,黄鹤楼,时隔20年，再次来到黄鹤楼。景区很大，游人超级多，超出我的想象，总体感觉不错，干净卫生，井然有序，武汉是一座英雄的城市。
208,77593,黄鹤楼,超棒体验！！！！2020，不一样的武汉～
209,77593,黄鹤楼,我们是疫情结束以后去的武汉，黄鹤楼是武汉的地标景点，当然要去！去了以后免票，很感动，武汉市政府为了答谢全国人民在疫情期间援助武汉，特此对外免票！英雄的城市，千古的黄鹤楼，果然名不虚传！来武汉一定要去黄鹤楼
210,77593,黄鹤楼,中国几大名楼当中，我唯一上过的就是黄鹤楼。但是中国的几大名楼我都去过了，为什么那些楼没有进去而唯独登上了黄鹤楼呢，就是因为黄鹤楼的景区没有那么的单调。&#x0A;除了大家所熟知的一座楼以外，这边还有很多其他的景点可以游览，比如非常漂亮的蛇山，还有可以从另外一个角度看黄鹤楼的白云阁。更有登上黄鹤楼，遗忘整个武汉美景的高度的美。&#x0A;选择一个好的天气，选择不逆光的角度拍一拍，俯视武汉的美也是一种美呀。
211,77593,黄鹤楼,这个楼历史文化方面很有名气，小的时候就学到很多赞颂的诗词。
212,77593,黄鹤楼,雄伟壮观，可以登到楼顶，俯瞰第一座长江大桥。有文创雪糕，棒棒糖，奶茶，不错😊
213,77593,黄鹤楼,还是儿时去的黄鹤楼，现在是带着儿子去，变化真大，但景区也越来越好，越来越规范了。在楼内展示黄鹤楼的有关文化，站在楼上不仅可以看到武汉的全貌，还有近处的长江大桥，对面的龟山电视塔，感受繁华的武汉城区。
214,77593,黄鹤楼,这里非常值得去。去武汉旅游，必打卡之地。在黄鹤楼的楼顶上，可以鸟瞰武汉全景。
215,77593,黄鹤楼,总的来说非常好的一次体验，可能还有更多有趣的玩法，希望下次继续来探索五星好评，位置特别好找，离地铁站超近，过来很方便
216,77593,黄鹤楼,黄鹤楼景区不错！值得推荐，名不虚传！
217,77593,黄鹤楼,很雄伟，在蛇山上与龟山电视塔遥遥相望。黄色的塔顶，红色的柱子，平台上有铜鸟。现在最好一层俯瞰长江天际流，胸怀坦荡。
218,77593,黄鹤楼,一般吧，感觉没有期望中的惊艳！在一座山头上，是1985年重建的，塔分为5层，每层没有什么内容，都是售卖一些旅游商品。顶层视野很好，可以看到武汉长江大桥。
219,77593,黄鹤楼,非常不错的一次体验&#x20;&#x0A;去的时候西门在维护&#x20;从南门口入的&#x20;&#x0A;拍了许多照片&#x20;人气特别忙
220,77593,黄鹤楼,故人西辞黄鹤楼，景色宜人，超赞
221,77593,黄鹤楼,来都来了，总要去看看嘛对啊，就是有点热&#x0A;吃根冰棒，拍个照就是打卡了，我吃了3个有点多了呗&#x0A;一层一层的上去瞅瞅，里面的风扇很多人乘凉，是因为真的好热好热，看了出去可以去小吃街户部巷，走两步就到了哈
222,77593,黄鹤楼,黄鹤楼夜景不错，画面太美了，白天和夜晚景色就是不一样，不枉来武汉一趟
223,77593,黄鹤楼,千万别被门口游览车忽悠，走进去真没多远，一边走一边还有景色可以欣赏。
224,77593,黄鹤楼,其实还真没什么好看的，就一栋楼，可以上午，在每一个高度看一样的风景。国庆景区搞活动，送了“黄鹤楼”米酒的小样
225,77593,黄鹤楼,顶着35度的高温，我和孩子爬上了黄鹤楼。开学前一两天人还不算很多。爬上顶楼可以俯瞰长江大桥。值得一去。
226,77593,黄鹤楼,值得一看的地方。门口有导游服务，可以多了解历史。演出也非常精彩。我们来晚了，所以就老了演出，参观了主楼
227,77593,黄鹤楼,绝对的VIP体验，观景位子绝佳汉服租赁非常不错，服务也很好！
228,77593,黄鹤楼,很棒，和小姐妹一起打卡武汉的地标建筑！虽然天气炎热，但登楼时随处可见的大风扇让人觉得很舒服！冲冲冲！
229,77593,黄鹤楼,城市坐标，肯定得去。公园虽不大，历史遗迹很多，值得去。入园有瓶咸汽水，很人性化，网红雪糕好看又好吃。
230,77593,黄鹤楼,"黄鹤楼是中国四大名楼之一，,号称“天下江山第一楼”。相传始建于三国时期，历代屡毁屡建。现楼为1981年重建，以清代“同治楼”为原型设计。楼址仍在蛇山头。主楼高49米，共五层，攒尖顶，层层飞檐，四望如一。"
231,77593,黄鹤楼,作为江南三大名楼，黄鹤楼是到武汉旅游出差必去的地方之一，原本趁着工作日，以为人少，但还是错付了(눈_눈)&#x0A;在游客中心买票，票上面是有地图的，一般习惯性的也会在游客中心看下景区地图&#x0A;沿着山道往上走，远远的能看到主楼，山道周边景色不错&#x0A;现在的黄鹤楼其实是重建的，在楼里专门有一层介绍各个时期的黄鹤楼，对比看看还蛮有趣&#x0A;进到主楼，就能看到巨幅的画，印证着诗：故人已乘黄鹤去，此地空余黄鹤楼&#x0A;黄鹤楼适合远眺武汉长江大桥，看过桥上楼上风景，快向大桥指引的方向去吃美食吧
232,77593,黄鹤楼,黄鹤楼很好玩的，真的是很不错，去黄鹤楼登高望远。感受感觉不一样的黄鹤楼很好玩的。登黄鹤楼，不仅仅获得愉快，更能使心灵与宇宙意象互渗互融，从而使心灵净化。这大约就是黄鹤楼美的魅力经风雨而不衰，与日月共长存原因之所在。
233,77593,黄鹤楼,到武汉旅游&#x20;比打卡的&#x20;景点。很大武汉&#x20;安全意识很好。很奈斯谜题的
234,77593,黄鹤楼,位于湖北省武汉市武昌区，地处蛇山之巅，濒临万里长江，为武汉市地标建筑。&#x0A;&#x0A;黄鹤楼始建于三国吴黄武二年(223年)，历代屡加重修，现存建筑以清代“同治楼”为原型设计，重建于1985年。
235,77593,黄鹤楼,黄鹤楼灯光秀，名不虚传，虽然景色一般，但是灯光秀真是不错
236,77593,黄鹤楼,虽然性价比不是很高，如果经过这个城市，还是很值得去看看的
237,77593,黄鹤楼,***&#x20;也很方便&#x20;景区大门直接换票，下次过来&#x20;还在网上购买
238,77593,黄鹤楼,古往今来因为这楼，出了不少名句呢。
239,77593,黄鹤楼,文化之旅好！
240,77593,黄鹤楼,十大神话之一&#x20;&#x20;集齐七个去过黄鹤楼的武汉人&#x20;可以召唤神龙
241,77593,黄鹤楼,风景秀丽！
242,77593,黄鹤楼,已经是第三次去了。一定要天气晴朗时，才能登高望远。
243,77593,黄鹤楼,真的太开心了，看携程总有惊喜，看携程买门票才发现黄鹤楼9月30日前有半价优惠活动，才36元一个人，我们刚好9月26去，在黄鹤楼上俯瞰武汉长江大桥，绝对是不二的选择，很开心
244,77593,黄鹤楼,武汉打卡点&#x20;&#x20;&#x20;&#x20;v经过20年一座英雄城市&#x20;，更加要来走走
245,77593,黄鹤楼,玩的东西一般，就是看看楼，当做老展览馆看了。亮点在于登高俯瞰大武汉，俯瞰武昌城，俯瞰长江大桥，遥望汉阳。然后有些节日会有灯光秀挺好看的，我们没赶上。
246,77593,黄鹤楼,黄鹤楼四大名楼还是不错的，基本上两个小时就逛完了，园内有小车可以少走点路，十一排队上楼的人比较多，楼是后修的，上去之后视野不错
247,77593,黄鹤楼,这个景点离开户部巷不远，走路就可到达，不过景点基本都是人造景观，实际去了也没什么玩的，属于到了武汉不去是遗憾，既然到了武汉去一次么随便逛逛玩玩了。
248,77593,黄鹤楼,感觉景点一般，没有什么内容，管理方也没有太多的装饰！门票70一张，感觉有点不值！70周岁老人可以乘坐电梯上下，这点感觉挺好！
249,77593,黄鹤楼,黄鹤楼也算武汉标志性建筑，来了总是不能错过
250,77593,黄鹤楼,从古至今，多少文人墨客都来此书展情怀，虽然此楼已非彼楼，但历史和文化是恒古不变的。
251,77593,黄鹤楼,武汉位于长江之畔，是华中地区最大的城市。大家的印象里，武汉的文化底蕴浓厚，是一座古典与现代并存的城市。五一去的&#x20;人真的特别多
252,77593,黄鹤楼,风景名胜，名不虚传，登高望远，心情开阔！
253,77593,黄鹤楼,走进小时候念的古诗里感觉太神奇！很开心！
254,77593,黄鹤楼,武汉著名景点，门票不贵，还是值得去一次的
255,77593,黄鹤楼,还可以，景色不错，解说小姐姐知识也很丰富
256,77593,黄鹤楼,景色非常不错，很多游客，值得推荐给大家。
257,77593,黄鹤楼,黄鹤楼地处高处，挨着户部巷，有各种美食吃，登楼望远可直接看到武汉长江大桥，美滋滋
258,77593,黄鹤楼,在黄鹤楼里读诗，很有意思。黄鹤楼的来历，李白与黄鹤楼的牵扯，都是人们津津乐道的。到了那里，感受特别不一样。崔颢的《黄鹤楼》可以一读再读。黄鹤楼不是后来的皇家建筑，与滕王阁还是有差别的，一个精致壮观，一个粗犷大气，都很好！
259,77593,黄鹤楼,【景色】黄鹤楼（Yellow&#x20;Crane&#x20;Tower）是中国5A级旅游景区，江南三大名楼之一，位于湖北省武汉市长江南岸的武昌蛇山之巅，建于三国时代吴黄武二年。&#x0A;&#x0A;黄鹤楼在三国时期是军事楼，后演变成为观赏楼，历代文人墨客在此留下了许多千古绝唱如《黄鹤楼》《黄鹤楼送孟浩然之广陵》等，使得黄鹤楼自古以来闻名遐迩。
260,77593,黄鹤楼,这里曾是三国时期孙权所建的军事瞭望台～三百年后在诗人的浪漫主义情怀下成为了绝句～一千六百多年后成为了我们这些子子孙孙的旅游胜地……风景自不用说，我要赞赞的是那里的工作人员，我是在携程上定的票，检票后，工作人员看身份证发现我妈妈以超过65岁，是免票的。于是主动为我们操作退票，第二天就退回了。真的很感谢
261,77593,黄鹤楼,总体超赞，有趣好玩，性价比高，景色不错，人间四季又一轮，有人依旧在原地爱伱，有人依旧在等待伱戳一下****************************************
262,77593,黄鹤楼,值得一去，不是想象中惊艳，但是来了也不会后悔啦，人生在世，总要走走看看，冰淇淋味道不是很好，如果是朋友一起出游建议买个拍拍照就好，没必要一人买一个，15一个有一点点小贵，不如吃两块钱的老绿豆，走路慢慢游玩不是很累，带长辈玩也是可以的
263,77593,黄鹤楼,九九归一图大型壁雕在黄鹤楼公园的白龙池北岸，是黄鹤楼公园的众多景点之一。采用了四川大凉山的红色大理石。99只仙鹤或飞，或立，姿态万千，栩栩如生，是一件难得的艺术佳作，九九归一图还会随着天气阴晴的变幻呈现出不同颜色，变幻莫测。是黄鹤楼公园一处别致景色！
264,77593,黄鹤楼,风景优美，居高临下，欣赏武汉长江大桥！
265,77593,黄鹤楼,景区面积不大，在一座高山里，视野开阔！
266,77593,黄鹤楼,晚上去还是不错的，灯光夜景可以感受一下
267,77593,黄鹤楼,记得上小学的时候学过黄鹤楼的诗，没想到今日终于看见庐山真面目了，确实建筑很漂亮，但是感觉门票有点贵，因为里面真的没什么
268,77593,黄鹤楼,可以看舞蹈和乐曲表演！很赞！最上面还有卖雪糕和汽水的...
269,77593,黄鹤楼,中国四大名楼之一，湖北武汉的地标建筑，从古至今都是文人墨客诗词里常出现的地方。
270,77593,黄鹤楼,非常美的景点，虽然赶上雨天，却也很开心
271,77593,黄鹤楼,怎么说呢，来武汉出差整好在黄鹤楼附近，就来看了看，这就是一个后人修建的复古建筑，对于70的票价是真不值，人倒是很多。可玩性谈不上，趣味性不存在，文化性也一般般
